address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",4717850,78500,60.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4756500,105000,45.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица 40-летия Комсомола, 32А",3100000,77500,40.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",4783000,113990,41.96
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",4884800,86000,56.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4983000,110000,45.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, Первомайская улица, 114",5990000,71310,84.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",5133000,112172,45.76
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",5298720,83000,63.84
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",5330000,116477,45.76
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",5611500,87000,64.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",5659500,105000,53.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",5933400,93000,63.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",6028000,105477,57.15
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",6077050,97000,62.65
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",6139800,81000,75.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",6240000,96296,64.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",6215000,100000,62.15
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",6314000,82000,77.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",6314000,82000,77.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6459130,103000,62.71
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",6519300,93000,70.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",6590550,79500,82.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6825410,89000,76.69
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, улица Мира, 3",3830000,70926,54.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6903000,90000,76.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6961433,90750,76.71
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, Комсомольская улица, 67",6982000,99317,70.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",6979000,100316,69.57
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, Комсомольская улица, 67",7050000,99858,70.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",7070984,79700,88.72
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",7142000,100028,71.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",7140000,105000,68.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",7362454,88300,83.38
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Солнечная",7400000,109290,67.71
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",7810626,90600,86.21
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",7793384,90400,86.21
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",7874604,91800,85.78
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",7856190,79500,98.82
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Педагогическая, 28",7850000,84499,92.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",8004420,81000,98.82
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",8032752,93600,85.82
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",8148038,83750,97.29
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",8127000,100894,80.55
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, Комсомольская улица, 67",8338000,102938,81.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",8460206,88700,95.38
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",8700000,86524,100.55
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",8678950,90500,95.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Педагогическая, 28",8930000,94099,94.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к3",10563000,113581,93.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",10792600,91000,118.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",10822000,87941,123.06
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",11029800,93000,118.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",11207000,90855,123.35
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",11250000,91204,123.35
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Педагогическая, 28",11300000,88006,128.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, Первомайская улица, 60",11568000,120500,96.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Педагогическая, 28",11730000,91928,127.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, Первомайская улица, 60",12312000,180000,68.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, Первомайская улица, 60",14688000,120000,122.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, Советская улица, 44",7950000,81288,97.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, переулок Отдельный",4990000,68544,72.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Июльская, 25",8590000,103494,83.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Кулибина, 3",4499000,77569,58.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Сыромолотова",4600000,97872,47.0
