address,main_price,price_per_m2,area
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",85000000,472222,180.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",79900000,753774,106.0
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский бульвар, к1/6",12420540,270600,45.9
"Москва, САО, р-н Западное Дегунино, м. Селигерская",9805950,283000,34.65
"Москва, САО, р-н Тимирязевский, м. Окружная, 3-й Нижнелихоборский проезд, 1к3",9349890,293100,31.9
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 1",11650000,375806,31.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",72000000,750000,96.0
"Москва, САО, р-н Аэропорт, Ленинградский проспект, 36с38",59000000,369443,159.7
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",111850000,834701,134.0
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9",9503100,347590,27.34
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",80000000,747664,107.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 17к3",7979400,403000,19.8
"Москва, САО, р-н Западное Дегунино, м. Ховрино, Ижорская улица, 6С6",7370000,268000,27.5
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",4620000,256667,18.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",85000000,472222,180.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",81000000,512983,157.9
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",8156400,314919,25.9
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",10235000,313957,32.6
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",12140000,308906,39.3
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",10675000,333594,32.0
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",9120000,359055,25.4
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",9230000,206488,44.7
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",8110000,249538,32.5
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Лобненская улица, 13к3",5995984,300400,19.96
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",8250000,319767,25.8
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",10235000,313957,32.6
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",9849000,308746,31.9
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 38С5",10675000,335692,31.8
"Москва, САО, р-н Хорошевский, м. Хорошевская, 1-я Магистральная улица, 25",7895355,319650,24.7
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 14 ЖК, к1.2",10614120,292400,36.3
"Москва, САО, р-н Западное Дегунино, м. Селигерская",6982500,350000,19.95
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9к1",19343020,433700,44.6
"Москва, САО, р-н Бескудниковский, м. Селигерская, Дмитровское шоссе, 88к2",3680000,260993,14.1
